GEO Acc.	Title
GSE28691	Characterization of an Oxaliplatin Sensitivity Predictor in a preclinical Murine Model of Colorectal Cancer
GSE28702	CRC samples for FOLFOX therapy prediction
GSE28796	Gene expression profiles of pretreatment biopsies from dose-dense-docetaxel-treated breast cancers
GSE28821	Laser-capture microdissected invasive micropapillary carcinomas of the breast
GSE28995	THP-1 cell study: RA and TNF Treatments; RA time course
GSE29001	Identification of Unique Therapeutic Targets in Esophageal Squamous Cell Carcinoma
GSE29023	Predict cytogenetic abnormalities with gene expression profiles
GSE29175	Expression data from ovarian cancer cell lines
GSE29354	Mesothelioma tumor gene expression profiles
GSE29570	The mtDNA Amerindian Haplogroup B2 enhances the risk for Cervical Cancer of HPV: de-regulation of mitochondrial genes may be involved.
GSE29683	Coexpression of Normally Incompatible Developmental Pathways in Retinoblastoma Genesis [human tumor/cell line data]
GSE29718	An early inflammatory gene profile in visceral adipose tissue in children
GSE29721	The landscape of promoter DNA hypomethylation in liver cancer (expression data)
GSE29908	Expression data from peripheral blood mononuclear cell in patients with type 1 diabetes before and after peripheral stem cell transplantation
GSE29986	gene expression analyses of pediatriclymphoblastic lymphomas and leukemias
GSE30074	Expression data from 30 medulloblastomas
GSE30161	Genomic Multivariate Predictors of Response to Adjuvant Chemotherapy in Ovarian Carcinoma: Predicting Platinum Resistance
GSE30240	Expression data from 5 human cell lines exposed to IR (5 Gy)
GSE30442	Whole-exome sequencing identifies mutations of BCOR in acute myeloid leukemia with normal karyotype
GSE30723	Gene Expression Profiles of human primary alveolar type II (ATII) cells and macrophages (AMs) after influenza virus infection
GSE30784	Gene expression profiling of oral squamous cell carcinoma (OSCC)
GSE30903	Expression data from untreated and ATP treated AML blasts
GSE30929	Whole-transcript expression data for liposarcoma
GSE30979	Gene expression in hypoxic non-small cell lung cancer
GSE31312	Development and application of a new immunophenotypic algorithm for molecular subtype classification of Diffuse Large B-Cell Lymphoma (DLBCL): Report from an International DLBCL Rituximab-CHOP Consortium Program Study
GSE31312	Development and application of a new immunophenotypic algorithm for molecular subtype classification of Diffuse Large B-Cell Lymphoma (DLBCL): Report from an International DLBCL Rituximab-CHOP Consortium Program Study
GSE31312	Development and application of a new immunophenotypic algorithm for molecular subtype classification of Diffuse Large B-Cell Lymphoma (DLBCL): Report from an International DLBCL Rituximab-CHOP Consortium Program Study
GSE31312	Development and application of a new immunophenotypic algorithm for molecular subtype classification of Diffuse Large B-Cell Lymphoma (DLBCL): Report from an International DLBCL Rituximab-CHOP Consortium Program Study
GSE31312	Development and application of a new immunophenotypic algorithm for molecular subtype classification of Diffuse Large B-Cell Lymphoma (DLBCL): Report from an International DLBCL Rituximab-CHOP Consortium Program Study
GSE31312	Development and application of a new immunophenotypic algorithm for molecular subtype classification of Diffuse Large B-Cell Lymphoma (DLBCL): Report from an International DLBCL Rituximab-CHOP Consortium Program Study
GSE31348	Tuberculosis Patients Blood Gene Expression Through Treatment
GSE31403	Clinically Relevant Subsets Identified by Gene Expression Patterns Support a Revised Ontogenic Model of Wilms Tumor: A Children's Oncology Group Study
GSE31504	Impact of Gene Expression Profiling Based Risk Stratification in Patients with Myeloma Receiving Initial Therapy with Lenalidomide and Dexamethasone
GSE31534	Gene expression profile in A375 melanoma cells after 45 functionally important molecules were knocked down using siRNA
GSE31620	MicroRNA-1 is a candidate tumor suppressor and prognostic marker
GSE31684	Combination of a novel gene expression signature with a clinical nomogram improves the prediction of survival in high-risk bladder cancer
GSE31684	Combination of a novel gene expression signature with a clinical nomogram improves the prediction of survival in high-risk bladder cancer
GSE31773	Comparison of mRNA expression in circulating T-cells from patients with severe asthma
GSE31912	Gene expression profile in MCF7 breast cancer cells after 78 functionallly important molecules were knocked down using siRNA.
GSE32448	CPDR tumor-benign 80 genechip dataset
GSE32474	Comparison between cell lines from 9 different cancer tissue (NCI-60) (Affymetrix U133 Plus 2.0)
GSE32474	Comparison between cell lines from 9 different cancer tissue (NCI-60) (Affymetrix U133 Plus 2.0)
GSE32607	Human lymphocyte activation during the G0 to G1 transition
GSE32646	GSTP1 expression predicts poor pathological complete response to neoadjuvant chemotherapy in ER-negative breast cancer
GSE32901	Expression data for effector T cells
GSE32962	In vitro prednisolone resistance signature in MLL-rearranged infant ALL
GSE33109	Gene expression changes in human neural cells exposed to VX (O-ethyl S-[2-(diisopropylamino)ethyl] methylphosphonothiolate)
GSE33113	AMC colon cancer AJCCII
GSE33113	AMC colon cancer AJCCII
GSE33458	Gene expression analysis of osteosarcoma tumor-initiating cells (High) vs bulk tumor cells (Low)
GSE34171	Integrative Analysis of a series of newly diagnosed Diffuse Large B-cell Lymphomas (DLBCLs)
GSE34171	Integrative Analysis of a series of newly diagnosed Diffuse Large B-cell Lymphomas (DLBCLs)
GSE34205	Transcriptional profile of PBMCs in patients with acute RSV or Influenza infection
GSE34211	Pfizer Molecular Profile Data for Cell Lines
GSE34211	Pfizer Molecular Profile Data for Cell Lines
GSE34607	Airborne particulate matter affects gene expression in BEAS-2B bronchial epithelial cells.
GSE34620	Expression profiling of Ewing sarcoma samples
GSE34670	Gene expression in pediatric cALL
GSE34733	Methylation of the Proximal, Distal and Core Promoter of CEBPA in 572 Cases with Normal Karyotpye AML and 44 with t(8;21) Disclosed Different Frequencies but no Impact on Prognosis
GSE34860	Gene expression profiling in acute myeloid leukemia with mutated NPM
GSE35287	Unique Transcriptome, Pathways, and Networks in the Human Endometrial Fibroblast Response to Progesterone in Endometriosis
GSE35493	Pediatric rhabdoid tumors of kidney and brain show many differences in gene expression but share dysregulation of cell cycle and epigenetic effector genes
GSE35896	Gene expression data from 62 colorectal cancers
GSE36245	Gene expression data from glioblastoma tumor samples
GSE36701	Gene expression analysis of rectal mucosa in chronic irritable bowel syndrome (IBS) compared to healthy volunteers (HV)
GSE36771	Expression data from primary breast tumors (Auckland)
GSE36772	Expression data from primary breast tumors (NUH)
GSE36773	Expression data from primary breast tumors (IJB+OXF)
GSE36824	Clonal competition with alternating dominance in multiple myeloma [GEP]
GSE36824	Clonal competition with alternating dominance in multiple myeloma [GEP]
GSE36895	Molecular Genetic Classification of clear-cell Renal Cell Carcinoma (ccRCC) based on the Gene Expression Profiling of Tumors and Tumorgrafts deficient for BAP1 or PBRM1
GSE37088	Follicular Lymphoma expression array
GSE37200	Gene expression profiling of Barrett's esophageal tissues and esophageal adenocarcinoma specimens
GSE37201	Gene expression profiling of esophageal adenocarcinoma
GSE37307	Aberrant expressed genes in AML
GSE37364	Expression data from human colonic biopsy samples(adenoma-carcinoma)
GSE37371	Expression data from Ewing's sarcoma tumor samples
GSE37418	Novel mutations target distinct subgroups of medulloblastoma.
GSE37567	Methodoligies for identifying lead toxicity
GSE38351	The multifaceted balance of TNF-a and type I / II interferon responses in SLE and RA: how monocytes manage the impact of cytokines
GSE38351	The multifaceted balance of TNF-a and type I / II interferon responses in SLE and RA: how monocytes manage the impact of cytokines
GSE38627	Thalidomide in Total Therapy 2 Overcomes Inferior Prognosis of Myeloma with Low Expression of the Glucocorticoid Receptor Gene NR3C1
GSE38885	Expression data from post-transplant lymphoproliferative disorder (PTLD) patient samples
GSE39088	Down-regulation of Interferon signature in systemic lupus erythematosus patients by active immunization with Interferon alpha-Kinoid
GSE39204	Gene-expression profiles of ascites-cytology-positive ovarian cancer
GSE39411	Expression data from healthy and malignant (chronic lymphocytic leukemia, CLL) human B-lymphocytes after B-cell receptor stimulation
GSE39454	Genomic signatures characterize leukocyte infiltration in myositis muscles
GSE39612	Distinct gene expression profiles of viral- and non-viral associated Merkel cell carcinoma revealed by transcriptome analysis
GSE39671	Expression data from untreated CLL patients
GSE39976	Determination of molecular markers for BRCA1 and BRCA2 heterozygosity using gene expression profiling
GSE40182	Culturing Cytotrophoblasts Reverses Gene Dysregulation in Preeclampsia Revealing Possible Causes
GSE40231	The Stockholm Atherosclerosis Gene Expression (STAGE) study: Global Gene Expression data from coronary and carotid artery disease patients
GSE40263	Novel antioxidative peptides with potential to reduce psoriatic changes in PBMCs
GSE41445	Basal gene expression data of 21 cell lines (18 cancer and 3 non-tumorigenic)
GSE42203	Global expression analysis of DLBCL and SMZL cell lines
GSE42743	Oral Cavity Cancer Compared to Adjacent Normal Tissue [Validation Set]
GSE42816	Gene expression propionic patients, carriers, and controls
GSE42822	Expression data from breast cancer FNA biopsies from patients ( (USO samples)
GSE43290	Expression data from meningiomas and normal meninges
GSE43553	Microarray-based gene expression profiling in patients with cryopyrin-associated periodic syndromes defines a disease-related signature and IL-1-responsive transcripts.
